x,y
tensor(0.2779),tensor(0.7528)
tensor(1.5356),tensor(0.4650)
tensor(1.1406),tensor(6.3235)
tensor(10.9605),tensor(-3.1787)
tensor(7.7921),tensor(-1.2242)
tensor(3.0404),tensor(1.3876)
tensor(8.4879),tensor(-2.6045)
tensor(8.8657),tensor(4.0463)
tensor(0.4045),tensor(2.2426)
tensor(7.9017),tensor(3.6063)
tensor(7.7559),tensor(-2.3799)
tensor(8.5991),tensor(-2.6386)
tensor(0.0720),tensor(-0.0208)
tensor(10.7011),tensor(-3.1035)
tensor(17.4129),tensor(-4.6326)
tensor(0.0101),tensor(0.0266)
tensor(17.3800),tensor(-4.6238)
tensor(15.6970),tensor(-6.8324)
tensor(1.8827),tensor(0.5702)
tensor(0.9777),tensor(2.6956)
tensor(5.2408),tensor(-1.6555)
tensor(1.4686),tensor(0.4447)
tensor(0.6512),tensor(0.6234)
tensor(12.8175),tensor(-3.7173)
tensor(2.5042),tensor(-1.0729)
tensor(0.9214),tensor(0.2790)
tensor(1.1104),tensor(3.9874)
tensor(1.4894),tensor(0.4511)
tensor(1.1648),tensor(-0.6663)
tensor(20.5821),tensor(-6.1380)
tensor(0.1302),tensor(0.3362)
tensor(0.9499),tensor(2.6190)
tensor(4.9894),tensor(-0.7839)
tensor(20.4850),tensor(-6.1091)
tensor(0.0567),tensor(-0.0163)
tensor(0.6845),tensor(2.4100)
tensor(14.7724),tensor(-6.4299)
tensor(2.9439),tensor(1.3436)
tensor(0.2723),tensor(0.2607)
tensor(1.2397),tensor(3.4180)
tensor(1.5627),tensor(0.4733)
tensor(3.1124),tensor(-1.3335)
tensor(0.1927),tensor(0.4212)
tensor(9.4199),tensor(-4.1002)
tensor(7.6323),tensor(-2.3420)
tensor(1.4864),tensor(0.4501)
tensor(0.7613),tensor(4.2208)
tensor(0.0453),tensor(0.1169)
tensor(0.9768),tensor(0.2958)
tensor(0.5664),tensor(1.9945)
tensor(0.4496),tensor(0.9828)
tensor(0.0636),tensor(0.2283)
tensor(1.7395),tensor(-0.2254)
tensor(14.3568),tensor(-4.1637)
tensor(3.8495),tensor(1.7569)
tensor(0.0043),tensor(0.0115)
tensor(8.9493),tensor(-2.7461)
tensor(1.8087),tensor(0.5477)
tensor(8.5840),tensor(3.9177)
tensor(0.5278),tensor(1.3920)
tensor(0.6986),tensor(-0.0905)
tensor(22.2205),tensor(-6.2847)
tensor(0.2744),tensor(1.0225)
tensor(0.7548),tensor(2.0811)
tensor(1.1196),tensor(3.0868)
tensor(9.4687),tensor(4.3215)
tensor(5.5902),tensor(2.5513)
tensor(0.0656),tensor(0.2355)
